incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
19BU003483,Defendant708,3/21/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Female,White,Judge10,TRUE
18BU025826,Defendant1046,3/21/2019,Credit Card/ATM Fraud,6,0,0,0,0,No Bail,4,0,1,Male,White,Judge10,TRUE
19BU03485,Defendant624,3/21/2019,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,5,Male,White,Judge10,TRUE
19BU001779,Defendant60,3/21/2019,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,1,Male,Black,Judge10,TRUE
19BU005693,Defendant801,3/22/2019,Escape,3,1,0,0,0,No Bail,NA,0,0,Male,White,Judge16,TRUE
19BU005674,Defendant466,3/22/2019,Driving With A Criminally Suspended License,4,0,1,0,0,No Bail,NA,0,0,Female,White,Judge16,TRUE
19BU005844,Defendant144,3/25/2019,Unlawful Trespass (Felony),2,1,0,0,0,No Bail,4,0,4,Male,Black,Judge10,TRUE
19BU005831,Defendant716,3/25/2019,Domestic Assault,3,0,0,1,5000,Bail,6,0,0,Male,White,Judge10,TRUE
19BU05833,Defendant1026,3/25/2019,Unlawful Mischief (Misdemeanor),2,0,1,0,0,No Bail,1,1,0,Female,White,Judge10,TRUE
19BU005799,Defendant880,3/25/2019,Assault With Bodily Fluids (Misdemeanor),2,0,1,0,0,No Bail,1,1,2,Male,Black,Judge10,TRUE
19BU005856,Defendant742,3/25/2019,Simple Assault,2,0,1,0,0,No Bail,1,0,0,Male,Black,Judge10,TRUE
19BU002936,Defendant1006,3/26/2019,Assault On A Law Enforcement Officer (Misdemeanor),2,0,0,1,200,Bail,1,1,4,Female,White,Judge10,TRUE
19BU002955,Defendant360,3/26/2019,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge10,TRUE
19BU005505,Defendant494,3/26/2019,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,0,0,0,0,No Bail,1,1,1,Male,Asian,Judge10,TRUE
18BU012102,Defendant161,3/26/2019,"Drugs - Cocaine, Possession  Misdemeanor",1,0,1,0,0,No Bail,1,0,1,Male,White,Judge10,TRUE
18BU004215,Defendant258,3/26/2019,Disorderly Conduct - All Other,1,0,1,1,100,Bail,1,1,1,Female,White,Judge10,TRUE
19BU005391,Defendant424,3/26/2019,Disorderly Conduct By Phone Or Electronic Communication,1,0,1,0,0,No Bail,5,0,0,Female,White,Judge10,TRUE
19BU005944,Defendant182,3/26/2019,Domestic Assault,1,0,0,0,0,No Bail,5,0,1,Male,Black,Judge10,TRUE
19BU005799,Defendant880,3/27/2019,Assault On A Law Enforcement Officer (Misdemeanor),2,0,0,0,0,No Bail,NA,0,3,Male,Black,Judge12,TRUE
19BU002540,Defendant615,3/28/2019,Retail Theft (Misd),8,0,1,0,0,No Bail,3,0,5,Male,White,Judge10,TRUE
19BU004896,Defendant415,3/28/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,1,Male,White,Judge10,TRUE
19BU003251,Defendant300,3/28/2019,Leaving Scene Of An Accident,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge10,TRUE
